title,date,price,discounted_price
Tom Clancy's Ghost Recon® Breakpoint,"Jan 23, 2023",,
Mahokenshi,"Jan 24, 2023",,
Warlander,"Jan 24, 2023",Free To Play,Free To Play
Forspoken,"Jan 24, 2023",69.99,69.99
Forspoken: Deluxe Upgrade,"Jan 24, 2023",,
Neptunia: Sisters VS Sisters,"Jan 24, 2023",,
Handyman Corporation,"Jan 25, 2023",,
Garden In!,"Jan 26, 2023",,
Power Chord,"Jan 26, 2023",,
Watch Dogs®: Legion,"Jan 26, 2023",,
Train Sim World ® 3: ScotRail Express: Edinburgh - Glasgow Route Add-On,"Jan 26, 2023",39.99,35.99
Death in the Water 2,"Jan 26, 2023",,
Pizza Tower,"Jan 26, 2023",,
MechWarrior 5: Mercenaries - Rise of Rasalhague,"Jan 26, 2023",,
Dead Space,"Jan 27, 2023",59.99,59.99
ATONE: Heart of the Elder Tree,"Jan 27, 2023",,
Alice Escaped!,"Jan 27, 2023",,
Milky Quest II,"Jan 27, 2023",,
The King's Dilemma: Chronicles,"Jan 30, 2023",,
KindFolx,January 2023,,
Housebreaker,January 2023,,
Touhou Hero of Ice Fairy,January 2023,,
Second Front,"Jan 31, 2023",,
JETT: The Far Shore + Given Time,"Jan 31, 2023",,
Spellmasons,"Jan 31, 2023",,
8-Bit Adventures 2,"Jan 31, 2023",,
Undisputed,"Jan 31, 2023",,
Inkulinati,"Jan 31, 2023",,
SEASON: A letter to the future,"Jan 31, 2023",,
Superfuse,"Jan 31, 2023",,
SpongeBob SquarePants: The Cosmic Shake,"Jan 31, 2023",39.99,39.99
Raiden IV x MIKADO remix,"Jan 31, 2023",,
Rhythm Sprout: Sick Beats & Bad Sweets,"Feb 1, 2023",,
Dimensions: Dreadnought Architect,"Feb 1, 2023",,
PERISH,"Feb 2, 2023",,
Tails: The Backbone Preludes,"Feb 2, 2023",,
Deliver Us Mars,"Feb 2, 2023",29.99,26.99
The Symbiant,"Feb 2, 2023",,
Your Only Move Is HUSTLE,"Feb 2, 2023",,
Helvetii,"Feb 3, 2023",,
Fallen Bride Mege,"Feb 3, 2023",,
Knights of Braveland,"Feb 7, 2023",,
Barkhan,"Feb 9, 2023",,
Hogwarts Legacy,"Feb 10, 2023",59.99,59.99
Noobs Want to Live,"Feb 13, 2023",,
違う冬のぼくら／BOKURA,"Feb 13, 2023",,
Wanted: Dead,"Feb 13, 2023",,
Ten Dates,"Feb 14, 2023",,
Karagon (Survival Robot Riding FPS),"Feb 14, 2023",,
Labyrinth of Galleria: The Moon Society,"Feb 14, 2023",,
Blanc,"Feb 14, 2023",14.99,14.99
Ikki Unite,"Feb 14, 2023",,
Corpse Keeper,"Feb 15, 2023",,
Returnal™,"Feb 15, 2023",59.99,59.99
Operation: Harsh Doorstop,"Feb 15, 2023",Free,Free
Raid on Taihoku,"Feb 15, 2023",,
Hot And Lovely ：Charm,"Feb 16, 2023",,
Elderand,"Feb 16, 2023",,
WILD HEARTS™,"Feb 16, 2023",69.99,69.99
Wild West Dynasty,"Feb 16, 2023",,
迷离诡夜 blurred weird night,"Feb 16, 2023",,
Birth,"Feb 17, 2023",,
Arthas - The Game,"Feb 17, 2023",,
SpaceBourne 2,"Feb 17, 2023",,
Atomic Heart,"Feb 20, 2023",59.99,59.99
Research Story,"Feb 20, 2023",,
Brinefall,"Feb 21, 2023",,
Like a Dragon: Ishin!,"Feb 21, 2023",59.99,59.99
Metal Mutation,"Feb 22, 2023",,
Grim Guardians: Demon Purge,"Feb 23, 2023",,
Company of Heroes 3,"Feb 23, 2023",59.99,59.99
Aces & Adventures,"Feb 23, 2023",,
Blood Bowl 3,"Feb 23, 2023",29.99,29.99
Chef Life: A Restaurant Simulator,"Feb 23, 2023",,
Clive 'N' Wrench,"Feb 24, 2023",,
The Pale Beyond,"Feb 24, 2023",,
Castle of Secrets,"Feb 24, 2023",,
OCTOPATH TRAVELER II,"Feb 24, 2023",59.99,59.99
Kerbal Space Program 2,"Feb 24, 2023",,
The Last Starship,February 2023,,
Arto,February 2023,,
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,February 2023,,
The Leviathan's Fantasy,February 2023,,
Your Turn To Die -Death Game By Majority-,February 2023,,
Redemption Reapers,February 2023,,
Contraband Police,February 2023,,
Rusted Moss,February 2023,,
Perseus: Titan Slayer,February 2023,,
Sons Of The Forest,February 2023,,
Scars Above,"Feb 28, 2023",,
